code,name,list_date
603893,瑞芯微,2026-09-16
603986,兆易创新,2026-09-16
603993,洛阳钼业,2026-09-16
605117,德业股份,2026-09-16
605499,东鹏饮料,2026-09-16
688008,澜起科技,2026-09-16
688009,中国通号,2026-09-16
688012,中微公司,2026-09-16
688036,传音控股,2026-09-16
688041,海光信息,2026-09-16
688047,龙芯中科,2026-09-16
688072,拓荆科技,2026-09-16
688082,盛美上海,2026-09-16
688111,金山办公,2026-09-16
688126,沪硅产业,2026-09-16
688183,生益电子,2026-09-16
688223,晶科能源,2026-09-16
688256,寒武纪,2026-09-16
688271,联影医疗,2026-09-16
688303,大全能源,2026-09-16
688396,华润微,2026-09-16
688472,阿特斯,2026-09-16
688506,百利天恒,2026-09-16
688521,芯原股份,2026-09-16
688981,中芯国际,2026-09-16
